# lon  lat  height  residual_anomaly
-4.760269999999999868e+01 -1.224849999999999994e+01 3.676600000000000250e+02 -1.790009331672001736e+01
-4.757970000000000255e+01 -1.224579999999999913e+01 3.941800000000000068e+02 -1.846114261544600765e+01
-4.859599999999999653e+01 -1.227539999999999942e+01 2.606299999999999955e+02 -4.966640000578443903e-01
-4.798790000000000333e+01 -1.226970000000000027e+01 4.056600000000000250e+02 9.366392389928094531e+00
-4.770889999999999986e+01 -1.227270000000000039e+01 3.684399999999999977e+02 -1.428915760938380686e+00
-4.725480000000000302e+01 -1.227369999999999983e+01 3.846100000000000136e+02 4.003067265557177734e+00
-4.860620000000000118e+01 -1.229069999999999929e+01 2.628899999999999864e+02 -3.514198091333113894e-01
-4.798420000000000130e+01 -1.229160000000000075e+01 3.741200000000000045e+02 8.679058240482426356e+00
-4.861829999999999785e+01 -1.231199999999999939e+01 2.733100000000000023e+02 -4.441923845167359275e-01
-4.797290000000000276e+01 -1.230450000000000088e+01 3.954599999999999795e+02 7.654689858837080862e+00
-4.863340000000000174e+01 -1.233339999999999925e+01 2.796000000000000227e+02 -1.773121464342530373e+00
-4.796840000000000259e+01 -1.232109999999999950e+01 3.971200000000000045e+02 7.466428166696147173e+00
-4.772829999999999728e+01 -1.232019999999999982e+01 3.593500000000000227e+02 -5.017227342268142820e+00
-4.722699999999999676e+01 -1.233259999999999934e+01 3.574200000000000159e+02 3.253248631965092841e+00
-4.864820000000000277e+01 -1.235340000000000060e+01 2.807799999999999727e+02 -1.750538173494604166e+00
-4.863810000000000144e+01 -1.234670000000000023e+01 2.842799999999999727e+02 -1.956065858141737834e+00
-4.795179999999999865e+01 -1.234989999999999988e+01 3.449700000000000273e+02 6.485946152334669534e+00
-4.773940000000000339e+01 -1.234459999999999980e+01 3.634499999999999886e+02 -7.428026687191945143e+00
-4.869480000000000075e+01 -1.237570000000000014e+01 2.624200000000000159e+02 -2.886819536977565548e+00
-4.867110000000000269e+01 -1.236400000000000077e+01 2.766700000000000159e+02 1.148783191775383017e+00
-4.863459999999999894e+01 -1.236829999999999963e+01 2.915000000000000000e+02 -1.870015481357750531e+00
-4.793860000000000099e+01 -1.237780000000000058e+01 3.647500000000000000e+02 5.928852720588274394e+00
-4.775000000000000000e+01 -1.236529999999999951e+01 3.388899999999999864e+02 -8.007653962782427470e+00
-4.881380000000000052e+01 -1.239339999999999975e+01 2.980600000000000023e+02 6.603285989816694013e-01
-4.879140000000000299e+01 -1.238729999999999976e+01 2.860299999999999727e+02 5.542830951825461483e-01
-4.876659999999999684e+01 -1.238610000000000078e+01 2.751600000000000250e+02 -7.088988358118513133e-01
-4.874329999999999785e+01 -1.238829999999999920e+01 2.604300000000000068e+02 -2.594658308787511913e+00
-4.873919999999999675e+01 -1.238969999999999949e+01 2.596000000000000227e+02 -2.719825685632585532e+00
-4.871410000000000196e+01 -1.239289999999999914e+01 2.558499999999999943e+02 -3.386747747628977123e+00
