# lon  lat  height  gz
-4.838742828369140625e+01 -1.363007259368896484e+01 5.342214830237703609e+02 2.725255105298020730e+00
-4.834663009643554688e+01 -1.363007259368896484e+01 5.440970319343024357e+02 -3.305720653195841852e+00
-4.830583190917968750e+01 -1.363007259368896484e+01 6.153938662832202908e+02 -6.571814148349444551e+00
-4.826503372192382812e+01 -1.363007259368896484e+01 6.546936205262953763e+02 -1.193462552240066898e+01
-4.822423553466796875e+01 -1.363007259368896484e+01 5.638398739186740158e+02 -1.414274818156336977e+01
-4.818343734741210938e+01 -1.363007259368896484e+01 5.276355343062872407e+02 -1.387395619437297967e+01
-4.814263916015625000e+01 -1.363007259368896484e+01 5.013869147801133295e+02 -1.345853412188787601e+01
-4.810184097290039062e+01 -1.363007259368896484e+01 4.886431489935918080e+02 -1.259833187698652424e+01
-4.806104278564453125e+01 -1.363007259368896484e+01 4.903654242375665717e+02 -1.107646843835052408e+01
-4.802024459838867188e+01 -1.363007259368896484e+01 5.093477158883605398e+02 -9.147859034131526457e+00
-4.797944641113281250e+01 -1.363007259368896484e+01 5.452017083160982338e+02 -7.299156995463063957e+00
-4.863221740722656250e+01 -1.358942508697509766e+01 5.529285880098225334e+02 -8.409887688153260044e+00
-4.859141921997070312e+01 -1.358942508697509766e+01 5.687322589412383422e+02 -5.005930696107062872e+00
-4.855062103271484375e+01 -1.358942508697509766e+01 5.700126455613151393e+02 -1.073902183027033663e+00
-4.850982284545898438e+01 -1.358942508697509766e+01 5.581060657628520403e+02 2.645937647174983809e+00
-4.846902465820312500e+01 -1.358942508697509766e+01 5.426870957192480773e+02 5.998407063088934343e+00
-4.842822647094726562e+01 -1.358942508697509766e+01 5.261244387112170671e+02 8.912207907558297393e+00
-4.838742828369140625e+01 -1.358942508697509766e+01 5.063376833640779751e+02 1.085695251860899901e+01
-4.834663009643554688e+01 -1.358942508697509766e+01 4.814430496656200376e+02 6.423703532196738841e+00
-4.830583190917968750e+01 -1.358942508697509766e+01 4.692564679051656071e+02 2.644695089955876544e+00
-4.826503372192382812e+01 -1.358942508697509766e+01 4.583544081845386131e+02 -4.086973990056285366e+00
-4.822423553466796875e+01 -1.358942508697509766e+01 4.335267857087172843e+02 -1.148164547605581731e+01
-4.818343734741210938e+01 -1.358942508697509766e+01 4.275206967987212465e+02 -1.297614509386298387e+01
-4.814263916015625000e+01 -1.358942508697509766e+01 4.057989102723877295e+02 -1.400918026216244350e+01
-4.810184097290039062e+01 -1.358942508697509766e+01 3.946652061026323963e+02 -1.412705555081127606e+01
-4.806104278564453125e+01 -1.358942508697509766e+01 4.193183272906419461e+02 -1.171996508222835409e+01
-4.802024459838867188e+01 -1.358942508697509766e+01 4.804649373545421440e+02 -8.191342700941667943e+00
-4.797944641113281250e+01 -1.358942508697509766e+01 5.310425522884762586e+02 -8.345824343307842952e+00
-4.863221740722656250e+01 -1.354877758026123047e+01 5.247583525759130225e+02 -9.262471452417809559e+00
-4.859141921997070312e+01 -1.354877758026123047e+01 5.378725732739660543e+02 -5.141979701508352818e+00
-4.855062103271484375e+01 -1.354877758026123047e+01 5.394475517408225187e+02 -3.034031750513574432e-01
-4.850982284545898438e+01 -1.354877758026123047e+01 5.314555897288350934e+02 4.668672927341546597e+00
-4.846902465820312500e+01 -1.354877758026123047e+01 5.199860721809521920e+02 9.476575937168496111e+00
-4.842822647094726562e+01 -1.354877758026123047e+01 5.058754086147179692e+02 1.406287457244118677e+01
-4.838742828369140625e+01 -1.354877758026123047e+01 4.842856258869308022e+02 1.838297281084209089e+01
-4.834663009643554688e+01 -1.354877758026123047e+01 4.518465753046294253e+02 1.967531812103995037e+01
-4.830583190917968750e+01 -1.354877758026123047e+01 4.590762700177226634e+02 2.306294050848874022e+01
-4.826503372192382812e+01 -1.354877758026123047e+01 4.357546644611463762e+02 1.316488770631857896e+01
-4.822423553466796875e+01 -1.354877758026123047e+01 3.724364711974056945e+02 -1.776370349441961594e+00
-4.818343734741210938e+01 -1.354877758026123047e+01 3.642176536382708605e+02 -5.979229503493133535e+00
-4.814263916015625000e+01 -1.354877758026123047e+01 3.527282110085799332e+02 -9.337442289583593791e+00
-4.810184097290039062e+01 -1.354877758026123047e+01 3.549511203738926497e+02 -1.167574064569575931e+01
-4.806104278564453125e+01 -1.354877758026123047e+01 3.807388396332974594e+02 -9.527208536888053914e+00
-4.802024459838867188e+01 -1.354877758026123047e+01 4.566884512453980278e+02 -9.004525716557980175e+00
-4.797944641113281250e+01 -1.354877758026123047e+01 5.284708302536330393e+02 -9.016055711405122963e+00
-4.863221740722656250e+01 -1.350813007354736328e+01 5.007147316142626892e+02 -1.053679317294620255e+01
-4.859141921997070312e+01 -1.350813007354736328e+01 5.113972549047093707e+02 -5.521339490310733567e+00
-4.855062103271484375e+01 -1.350813007354736328e+01 5.132695125608066746e+02 3.117316533000745182e-01
-4.850982284545898438e+01 -1.350813007354736328e+01 5.085813441103761647e+02 6.441830179015073377e+00
-4.846902465820312500e+01 -1.350813007354736328e+01 5.010312409260027380e+02 1.254298558134617281e+01
-4.842822647094726562e+01 -1.350813007354736328e+01 4.902276862728639912e+02 1.879252477006598099e+01
-4.838742828369140625e+01 -1.350813007354736328e+01 4.706414337361356957e+02 2.532376651317202843e+01
-4.834663009643554688e+01 -1.350813007354736328e+01 4.383792540149502770e+02 3.185676340036334864e+01
-4.830583190917968750e+01 -1.350813007354736328e+01 4.877387914944060867e+02 3.496428886473260178e+01
-4.826503372192382812e+01 -1.350813007354736328e+01 5.341577618225768447e+02 2.997332849451994363e+01
-4.822423553466796875e+01 -1.350813007354736328e+01 3.845605119918385526e+02 1.220713113063905553e+01
-4.818343734741210938e+01 -1.350813007354736328e+01 3.427287696748908843e+02 1.836162663309352405e+00
-4.814263916015625000e+01 -1.350813007354736328e+01 3.763660560165799325e+02 -5.191606265265082065e+00
-4.810184097290039062e+01 -1.350813007354736328e+01 3.775572930587042606e+02 -7.777602118227312289e+00
-4.806104278564453125e+01 -1.350813007354736328e+01 3.946982834065562429e+02 -8.920624701015947622e+00
-4.802024459838867188e+01 -1.350813007354736328e+01 4.604020609357540934e+02 -9.287546670877533828e+00
-4.797944641113281250e+01 -1.350813007354736328e+01 5.334403357766025238e+02 -9.448147172729864707e+00
-4.863221740722656250e+01 -1.346748256683349609e+01 4.801036098923422628e+02 -1.253251138881174320e+01
-4.859141921997070312e+01 -1.346748256683349609e+01 4.877414721724273363e+02 -6.276058834848987189e+00
-4.855062103271484375e+01 -1.346748256683349609e+01 4.897872364663530789e+02 3.566981046299533276e-01
-4.850982284545898438e+01 -1.346748256683349609e+01 4.889153733201858927e+02 7.242145729969672985e+00
-4.846902465820312500e+01 -1.346748256683349609e+01 4.856474144234245500e+02 1.448078951221323507e+01
-4.842822647094726562e+01 -1.346748256683349609e+01 4.806432673706906940e+02 2.207589062946667724e+01
-4.838742828369140625e+01 -1.346748256683349609e+01 4.800321847942631166e+02 2.997780190408510137e+01
-4.834663009643554688e+01 -1.346748256683349609e+01 4.422182041204366669e+02 3.702835985309966560e+01
-4.830583190917968750e+01 -1.346748256683349609e+01 4.271382490010188917e+02 4.409421644611993685e+01
-4.826503372192382812e+01 -1.346748256683349609e+01 7.300759804996622506e+02 4.583443961426979740e+01
-4.822423553466796875e+01 -1.346748256683349609e+01 3.958879909929719361e+02 2.795306237130758831e+01
-4.818343734741210938e+01 -1.346748256683349609e+01 3.344107898568271935e+02 8.948477338636429579e+00
-4.814263916015625000e+01 -1.346748256683349609e+01 3.570535811136223288e+02 -1.582544079036951157e+00
-4.810184097290039062e+01 -1.346748256683349609e+01 3.807126440460519916e+02 -6.836968344645316442e+00
